number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mae_std,state
0,0.4369673643360912,2026-06-12 14:17:52.835873,2026-06-12 14:17:54.609214,0 days 00:00:01.773341,0.40919616423534183,0.015355286838886862,10,50,222,0.0017073967431528124,2.9154431891537547,0.5780093202212182,0.04365183785710787,COMPLETE
1,0.4376704460167359,2026-06-12 14:17:54.609295,2026-06-12 14:17:55.443488,0 days 00:00:00.834193,0.44863737747479326,0.03027182927734624,3,138,111,0.005337032762603957,0.00541524411940254,0.9162213204002109,0.04387996654486443,COMPLETE
2,0.4387389362458536,2026-06-12 14:17:55.443549,2026-06-12 14:17:57.301672,0 days 00:00:01.858123,0.3976457024564293,0.012439367209907218,7,21,65,0.01474275315991467,0.029204338471814112,0.8059264473611898,0.04253009812230789,COMPLETE
3,0.43825716305181883,2026-06-12 14:17:57.301720,2026-06-12 14:17:58.120208,0 days 00:00:00.818488,0.3325152889039984,0.019603369861210685,4,39,138,0.26926469100861794,0.004809461967501573,0.7962072844310213,0.04355078875296907,COMPLETE
4,0.4371633041644863,2026-06-12 14:17:58.120253,2026-06-12 14:17:59.248599,0 days 00:00:01.128346,0.3683704798044687,0.0060758085133366885,12,89,221,0.5456725485601477,0.057624872164786026,0.6523068845866853,0.04395704646064715,COMPLETE
5,0.4380252612749004,2026-06-12 14:17:59.248644,2026-06-12 14:17:59.939806,0 days 00:00:00.691162,0.7637655990477874,0.007206848764305203,3,117,60,0.017654048052495083,0.12030178871154672,0.6293899908000085,0.04296889024775928,COMPLETE
6,0.4361173999470587,2026-06-12 14:17:59.939861,2026-06-12 14:18:01.074970,0 days 00:00:01.135109,0.9263791452993542,0.025719142025384646,12,81,25,0.24637685958997463,4.869640941520899,0.9697494707820946,0.0441590283987553,COMPLETE
7,0.4385859945506638,2026-06-12 14:18:01.075017,2026-06-12 14:18:01.796095,0 days 00:00:00.721078,0.4899443222417271,0.006517805612564439,3,23,25,2.0651425578959257,0.026730883107816707,0.6943386448447411,0.04287628282990083,COMPLETE
8,0.43708783496519227,2026-06-12 14:18:01.796150,2026-06-12 14:18:02.517449,0 days 00:00:00.721299,0.9908208556203622,0.011600433752378412,4,87,69,1.2273800987852967,0.0062353771356731605,0.5372753218398854,0.043504286866735735,COMPLETE
9,0.437676648252043,2026-06-12 14:18:02.517495,2026-06-12 14:18:03.803862,0 days 00:00:01.286367,0.35183125621386324,0.0050834018700114374,10,71,150,0.02715581955282941,0.0029072088906598446,0.8856351733429728,0.043228846638736815,COMPLETE
10,0.4380706460669379,2026-06-12 14:18:03.803916,2026-06-12 14:18:04.804406,0 days 00:00:01.000490,0.6669367850724572,0.0884165963731328,7,10,15,6.903717055434688,7.33049530984247,0.988320216419277,0.04348493705851862,COMPLETE
11,0.4366787624219798,2026-06-12 14:18:04.804451,2026-06-12 14:18:05.842193,0 days 00:00:01.037742,0.984912222264474,0.034584957933673076,12,49,30,0.0018675879840826404,5.52392157757347,0.5171857985001561,0.04394220040213326,COMPLETE
12,0.4376373107448135,2026-06-12 14:18:05.842238,2026-06-12 14:18:07.312593,0 days 00:00:01.470355,0.9993442603050197,0.03949463811932913,12,44,31,0.15276791552540117,1.438494697238285,0.7552821093292972,0.041250295033338956,COMPLETE
13,0.4377782171567743,2026-06-12 14:18:07.312646,2026-06-12 14:18:09.025674,0 days 00:00:01.713028,0.862241205704585,0.050383879489834006,10,29,28,0.0010370002661913246,0.5786558729675727,0.9868999045947081,0.041526209409120995,COMPLETE
14,0.43629907225477205,2026-06-12 14:18:09.025722,2026-06-12 14:18:09.896851,0 days 00:00:00.871129,0.8855793744755237,0.02661967504837343,12,63,16,0.08032472448884583,9.639798532690996,0.5065701578589044,0.043760911948401066,COMPLETE
15,0.4370662133905839,2026-06-12 14:18:09.896897,2026-06-12 14:18:10.929982,0 days 00:00:01.033085,0.8648220397665758,0.022552117992479262,11,71,15,0.09312938773028272,0.6065305834173385,0.8818271566976049,0.043390213228606256,COMPLETE
16,0.4371869240856003,2026-06-12 14:18:10.930030,2026-06-12 14:18:11.794258,0 days 00:00:00.864228,0.8511470464072932,0.06263014243522723,8,66,20,0.04429992310553582,1.3892939014590802,0.58906236757481,0.043615915687250074,COMPLETE
17,0.43727208255871153,2026-06-12 14:18:11.794313,2026-06-12 14:18:12.490979,0 days 00:00:00.696666,0.6812993727821326,0.024074154221929676,9,110,51,0.46359907122990196,9.121491182515967,0.7171975306149876,0.04348450070174324,COMPLETE
18,0.43798004939522156,2026-06-12 14:18:12.491028,2026-06-12 14:18:14.096332,0 days 00:00:01.605304,0.9095131203256883,0.009733057388522344,11,33,20,0.07933027697859006,0.3714464631874896,0.8280517170929926,0.042127568898502464,COMPLETE
19,0.43791222733022517,2026-06-12 14:18:14.096393,2026-06-12 14:18:16.846726,0 days 00:00:02.750333,0.7592306840950755,0.017933283142929794,11,11,41,0.006786608663951205,1.9200353365963507,0.9143705866554188,0.04309042254020552,COMPLETE
20,0.43841581465278423,2026-06-12 14:18:16.846774,2026-06-12 14:18:17.628622,0 days 00:00:00.781848,0.5871542958125169,0.048423681272789613,9,61,39,2.16958204864226,3.9461420105750644,0.6935802516197364,0.0433386692630997,COMPLETE
21,0.4362137110605177,2026-06-12 14:18:17.628668,2026-06-12 14:18:18.600266,0 days 00:00:00.971598,0.9279072849322698,0.0309036639790196,12,52,21,0.00276805521993176,9.014266302065833,0.5078680915535773,0.043779252248882856,COMPLETE
22,0.4366446103671032,2026-06-12 14:18:18.600311,2026-06-12 14:18:19.574759,0 days 00:00:00.974448,0.9211529732326709,0.0292842471127893,12,57,20,0.00628429807170902,9.481140192173216,0.5533930432284072,0.043711982356106134,COMPLETE
23,0.4368063262816184,2026-06-12 14:18:19.574805,2026-06-12 14:18:20.376129,0 days 00:00:00.801324,0.785000024773854,0.025370725267197046,11,92,22,0.2116466680465697,3.133217861057765,0.6200212863839081,0.04380404853904862,COMPLETE
24,0.44063397452891895,2026-06-12 14:18:20.376182,2026-06-12 14:18:20.870110,0 days 00:00:00.493928,0.9171367259962944,0.04369305339327574,12,149,16,8.532450484661135,1.2333843179050172,0.5101574779550888,0.04558984918071083,COMPLETE
25,0.43748608701712727,2026-06-12 14:18:20.870156,2026-06-12 14:18:22.051500,0 days 00:00:01.181344,0.8257617756876889,0.07022096559219894,11,35,35,0.049607266423912263,4.1525159809662835,0.5022415454277596,0.044400166316457684,COMPLETE
26,0.43661844254536575,2026-06-12 14:18:22.051556,2026-06-12 14:18:22.872439,0 days 00:00:00.820883,0.9508088407886575,0.015462963343493327,10,81,24,0.7576441117356884,9.953372447794397,0.5748766056913794,0.044034556728351854,COMPLETE
27,0.4367470242898772,2026-06-12 14:18:22.872488,2026-06-12 14:18:23.536162,0 days 00:00:00.663674,0.7091654908989194,0.03398455833064514,12,109,17,0.0032496313436217953,0.7203689492781026,0.6555230826661727,0.04388186750144369,COMPLETE
28,0.4392609317210544,2026-06-12 14:18:23.536209,2026-06-12 14:18:25.848661,0 days 00:00:02.312452,0.8219900086250138,0.05912672362031849,9,14,50,0.011342241866193687,0.17268828580133916,0.7611915360336309,0.04251777200731906,COMPLETE
29,0.43680408404322113,2026-06-12 14:18:25.848716,2026-06-12 14:18:26.944131,0 days 00:00:01.095415,0.8941196693789677,0.01833152587393908,11,53,18,0.31625998339541334,2.590303097360629,0.5950218084093423,0.04244330589126887,COMPLETE
30,0.4364910854953414,2026-06-12 14:18:26.944186,2026-06-12 14:18:28.224397,0 days 00:00:01.280211,0.9490534182506254,0.014082129850154978,10,42,28,0.12514969213951932,4.092002719807694,0.5549352831876185,0.04303077489346137,COMPLETE
31,0.4363903988439596,2026-06-12 14:18:28.224452,2026-06-12 14:18:29.478940,0 days 00:00:01.254488,0.949962048654404,0.013399738585093687,10,44,26,0.10295285865212543,4.299527110480339,0.5397627836280914,0.0427641723138329,COMPLETE
32,0.4367800965053852,2026-06-12 14:18:29.478995,2026-06-12 14:18:31.005474,0 days 00:00:01.526479,0.9429956585426559,0.028886947434504946,12,50,25,0.04255579046615149,2.2214315735648773,0.5371574817600779,0.04293070362135843,COMPLETE
33,0.43662453894748215,2026-06-12 14:18:31.005531,2026-06-12 14:18:32.949847,0 days 00:00:01.944316,0.8814496793556623,0.008903533759727082,8,27,36,0.06156626609816917,5.448339737063069,0.5693654122694927,0.04259921403517061,COMPLETE
34,0.4374884144331886,2026-06-12 14:18:32.949896,2026-06-12 14:18:33.959149,0 days 00:00:01.009253,0.8099602850237533,0.022606103578783746,10,76,22,0.026964682890905152,0.9417634198021774,0.5001021731691913,0.043168416477221395,COMPLETE
35,0.43702554662789855,2026-06-12 14:18:33.959201,2026-06-12 14:18:35.487655,0 days 00:00:01.528454,0.9778117409308746,0.014806230677559604,11,61,18,0.18570619483961434,2.7983349089104976,0.6084594914300888,0.04311176288357117,COMPLETE
36,0.4378215946361016,2026-06-12 14:18:35.487710,2026-06-12 14:18:37.705963,0 days 00:00:02.218253,0.8882218479470959,0.03632546841095339,12,37,32,0.45084741829737135,5.570498394479259,0.8390161752324466,0.04108754985048881,COMPLETE
37,0.4373851033142902,2026-06-12 14:18:37.706013,2026-06-12 14:18:39.026235,0 days 00:00:01.320222,0.9489453334352906,0.019558103891297758,5,46,42,0.928642025025519,2.094597687139644,0.9527979513972848,0.04165335217244749,COMPLETE
38,0.437184255225859,2026-06-12 14:18:39.026286,2026-06-12 14:18:39.815484,0 days 00:00:00.789198,0.30186757289409694,0.011175905611657174,6,97,77,0.0035775796671035716,0.3286921444548943,0.6595463143400091,0.0440463388722655,COMPLETE
39,0.4378376759066134,2026-06-12 14:18:39.815543,2026-06-12 14:18:40.402782,0 days 00:00:00.587239,0.7576787312374966,0.02595617168041034,9,131,25,0.01214020629320674,6.49391893381996,0.5396504668697035,0.04426112496011185,COMPLETE
40,0.43594745059479534,2026-06-12 14:18:40.402830,2026-06-12 14:18:41.642156,0 days 00:00:01.239326,0.8344292466847818,0.017006896442450785,11,29,22,3.3985356783914558,0.014892809155180816,0.5276027371446147,0.04318101035795887,COMPLETE
41,0.43641524573130974,2026-06-12 14:18:41.642205,2026-06-12 14:18:43.133838,0 days 00:00:01.491633,0.8470407518342458,0.01641458565682022,11,19,22,3.7002176006441876,0.015049448647503724,0.5269375923407825,0.04311991122805357,COMPLETE
42,0.43621720567533623,2026-06-12 14:18:43.133889,2026-06-12 14:18:44.598465,0 days 00:00:01.464576,0.7983045181830518,0.020894622095032987,12,23,19,1.7306099300802784,0.0011722097971827278,0.5620964062586419,0.043249352095121145,COMPLETE
43,0.4367749207341074,2026-06-12 14:18:44.598512,2026-06-12 14:18:45.873904,0 days 00:00:01.275392,0.7892449665703168,0.020901855776350838,12,19,18,4.2495185770993515,0.0014492715336952855,0.5699164161782029,0.04359554695845962,COMPLETE
44,0.436779819658924,2026-06-12 14:18:45.873951,2026-06-12 14:18:46.798294,0 days 00:00:00.924343,0.7151781923629205,0.03336567829665174,12,26,15,3.1944911207538014,0.06948045700789346,0.5212438370863675,0.04255107260860943,COMPLETE
45,0.4386860704493333,2026-06-12 14:18:46.798350,2026-06-12 14:18:48.534818,0 days 00:00:01.736468,0.6261689574467572,0.02858429635408299,11,15,20,1.9274689122777706,0.0011083640693181965,0.6342923538930754,0.04140913797606911,COMPLETE
46,0.43719254746222,2026-06-12 14:18:48.534871,2026-06-12 14:18:50.523740,0 days 00:00:01.988869,0.8448430742635674,0.041549753128775235,12,24,29,4.871960397373733,0.0033804060192714268,0.6000837436908493,0.043041757003075144,COMPLETE
47,0.4386829600970887,2026-06-12 14:18:50.523791,2026-06-12 14:18:52.218768,0 days 00:00:01.694977,0.4523810234296026,0.01725136147589673,11,22,17,1.2981438005675683,0.024470261159874978,0.785584694180179,0.04254974655413847,COMPLETE
