number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mae_std,state
0,0.5658556596341805,2026-06-12 14:32:56.583426,2026-06-12 14:33:00.998287,0 days 00:00:04.414861,0.40919616423534183,0.015355286838886862,10,50,222,0.0017073967431528124,2.9154431891537547,0.5780093202212182,0.11077910135290538,COMPLETE
1,0.5447528169634726,2026-06-12 14:33:00.998342,2026-06-12 14:33:02.295244,0 days 00:00:01.296902,0.44863737747479326,0.03027182927734624,3,138,111,0.005337032762603957,0.00541524411940254,0.9162213204002109,0.11843968887127693,COMPLETE
2,0.6351459922714149,2026-06-12 14:33:02.295300,2026-06-12 14:33:09.319821,0 days 00:00:07.024521,0.3976457024564293,0.012439367209907218,7,21,65,0.01474275315991467,0.029204338471814112,0.8059264473611898,0.15114975800340322,COMPLETE
3,0.582694446381688,2026-06-12 14:33:09.319878,2026-06-12 14:33:11.806874,0 days 00:00:02.486996,0.3325152889039984,0.019603369861210685,4,39,138,0.26926469100861794,0.004809461967501573,0.7962072844310213,0.11468398899764765,COMPLETE
4,0.5632620403475055,2026-06-12 14:33:11.806929,2026-06-12 14:33:17.670736,0 days 00:00:05.863807,0.3683704798044687,0.0060758085133366885,12,89,221,0.5456725485601477,0.057624872164786026,0.6523068845866853,0.11553772848987905,COMPLETE
5,0.54265502244076,2026-06-12 14:33:17.670801,2026-06-12 14:33:20.556697,0 days 00:00:02.885896,0.7637655990477874,0.007206848764305203,3,117,60,0.017654048052495083,0.12030178871154672,0.6293899908000085,0.12034069719052445,COMPLETE
6,0.5423129754182787,2026-06-12 14:33:20.556781,2026-06-12 14:33:23.841287,0 days 00:00:03.284506,0.9263791452993542,0.025719142025384646,12,81,25,0.24637685958997463,4.869640941520899,0.9697494707820946,0.09427070785243855,COMPLETE
7,0.5820999159674554,2026-06-12 14:33:23.841351,2026-06-12 14:33:27.691135,0 days 00:00:03.849784,0.4899443222417271,0.006517805612564439,3,23,25,2.0651425578959257,0.026730883107816707,0.6943386448447411,0.13698937797930105,COMPLETE
8,0.5424182685226946,2026-06-12 14:33:27.691194,2026-06-12 14:33:30.194001,0 days 00:00:02.502807,0.9908208556203622,0.011600433752378412,4,87,69,1.2273800987852967,0.0062353771356731605,0.5372753218398854,0.11717203819056876,COMPLETE
9,0.5775760782077841,2026-06-12 14:33:30.194056,2026-06-12 14:33:38.464226,0 days 00:00:08.270170,0.35183125621386324,0.0050834018700114374,10,71,150,0.02715581955282941,0.0029072088906598446,0.8856351733429728,0.10614158258301312,COMPLETE
10,0.6464250410472792,2026-06-12 14:33:38.464275,2026-06-12 14:33:40.360156,0 days 00:00:01.895881,0.6669367850724572,0.0884165963731328,7,10,15,6.903717055434688,7.33049530984247,0.988320216419277,0.2186455976477547,COMPLETE
11,0.5399429470496302,2026-06-12 14:33:40.360214,2026-06-12 14:33:42.221647,0 days 00:00:01.861433,0.9957378872070124,0.042168396346734194,7,62,34,0.13311155798490404,0.6203909253120526,0.5288678658426202,0.10653994699872078,COMPLETE
