number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_mae_std,state
0,0.4373373412908121,2026-06-12 14:21:20.330807,2026-06-12 14:21:32.729072,0 days 00:00:12.398265,0.40921304830970556,0.015355286838886862,10,17.524101118128137,0.004207053950287938,0.0017073967431528124,0.7993292420985183,0.041945014525999955,COMPLETE
1,0.43579525236041894,2026-06-12 14:21:32.729140,2026-06-12 14:21:41.602098,0 days 00:00:08.872958,0.978936896513396,0.06697167353375243,7,15.958573588141263,2.1368329072358767,0.0070689749506246055,0.5102922471479012,0.04292528516812486,COMPLETE
2,0.4385138206160283,2026-06-12 14:21:41.602160,2026-06-12 14:21:45.907690,0 days 00:00:04.305530,0.602361513049481,0.008620446097910767,4,3.2877474139911183,0.014618962793704957,0.2801635158716261,0.762378215816119,0.041240377924946656,COMPLETE
3,0.43853397452748066,2026-06-12 14:21:45.907756,2026-06-12 14:21:52.031171,0 days 00:00:06.123415,0.8496231729751094,0.007593739613361234,5,4.192159350410974,0.006290644294586149,0.11400863701127326,0.728034992108518,0.041010691005095294,COMPLETE
4,0.43733437401064357,2026-06-12 14:21:52.031232,2026-06-12 14:21:55.143860,0 days 00:00:03.112628,0.3455361150896956,0.029493012052163467,3,10.769622478263129,6.245139574743075,7.2866537374910445,0.5852620618436457,0.04189528737445071,COMPLETE
5,0.4406113645697237,2026-06-12 14:21:55.143915,2026-06-12 14:22:00.613187,0 days 00:00:05.469272,0.6081067456177209,0.05632733481673016,5,1.4653521030672134,0.003077180271250686,0.09565499215943825,0.8421165132560784,0.04229246631061976,COMPLETE
6,0.4392840442416922,2026-06-12 14:22:00.613242,2026-06-12 14:22:30.618018,0 days 00:00:30.004776,0.5181977532625877,0.005542561258655853,10,2.752069685079053,0.12030178871154672,0.1537592023548176,0.831261142176991,0.041485364699681435,COMPLETE
7,0.43694508885290684,2026-06-12 14:22:30.618076,2026-06-12 14:22:49.223313,0 days 00:00:18.605237,0.9263791452993542,0.008699037355645861,10,20.74566765675251,0.24637685958997463,4.869640941520899,0.9697494707820946,0.041685112201078,COMPLETE
8,0.4384882691615209,2026-06-12 14:22:49.223366,2026-06-12 14:22:53.956901,0 days 00:00:04.733535,0.5720741027826374,0.006517805612564439,4,1.1935477742481382,0.01217295809836997,2.0651425578959257,0.6626651653816322,0.04174670915206345,COMPLETE
9,0.43720087125255,2026-06-12 14:22:53.956951,2026-06-12 14:23:00.051977,0 days 00:00:06.095026,0.8615378865278278,0.014558505116213708,5,8.356499023325524,0.0019870215385428634,8.862326508576253,0.5704621124873813,0.042062581653618626,COMPLETE
10,0.43685512491071543,2026-06-12 14:23:00.052049,2026-06-12 14:23:05.387885,0 days 00:00:05.335836,0.74049099957092,0.09131267625429393,8,44.38277669999273,4.2722748162267905,0.001154460820484616,0.5089809378074099,0.043449730407655096,COMPLETE
11,0.43629497907029036,2026-06-12 14:23:05.387974,2026-06-12 14:23:10.390328,0 days 00:00:05.002354,0.753433151294781,0.0943657273822236,8,49.50669358661749,7.348768942543027,0.001301403184002157,0.5043736834843053,0.04348148520460776,COMPLETE
12,0.43689274558959346,2026-06-12 14:23:10.390380,2026-06-12 14:23:15.489254,0 days 00:00:05.098874,0.7402868250459769,0.09848952190069446,7,48.92927449434446,1.5761601791098236,0.007491669000770292,0.5021093106319138,0.04353390975202684,COMPLETE
13,0.4365452955938148,2026-06-12 14:23:15.489305,2026-06-12 14:23:23.302826,0 days 00:00:07.813521,0.9865941327389726,0.05325540598952087,8,27.198916688145665,1.0069133176461065,0.008101324842116018,0.6031222069400222,0.04322444961824932,COMPLETE
14,0.4380468643536616,2026-06-12 14:23:23.302888,2026-06-12 14:23:31.663545,0 days 00:00:08.360657,0.745687149534823,0.05512165782471644,7,9.95844846668743,9.689539551791016,0.007827713931752803,0.6636704158559581,0.043571332482048815,COMPLETE
15,0.4361020890787503,2026-06-12 14:23:31.663605,2026-06-12 14:23:39.172319,0 days 00:00:07.508714,0.9972118925528495,0.0344913192799388,8,30.327388688544517,0.7524651406735388,0.01906254201668452,0.5411415252974014,0.042803943532898084,COMPLETE
